Number,Name,Price,Amplitude,Volume,MeanPrice,RSI,MA_top_parm,MA_buttom_parm,Trend,BBand_parm,BBand_wide
2492,華新科,162.0,8.44%,57792.0,157.98039496065672,65.29214%,1.2109045283449298,1.2890954716550702,Bull&Bear,2.344,2.3697059244098506
2481,強茂,23.8,6.49%,10854.0,23.905100837471554,45.61092%,1.0,1.5,Bear Only,2.149,0.3585765125620733
6120,達運,17.15,6.38%,13273.0,16.652832744841735,78.59673%,1.0815694372741353,1.4184305627258649,Bear Only,2.138,0.24979249117262603
3596,智易,56.7,5.85%,11484.0,55.99420580476496,77.64275%,1.472745292368682,1.027254707631318,Bull Only,2.085,0.8399130870714744
3406,玉晶光,209.5,5.71%,10425.0,207.6424748943171,46.63464%,1.1987479257806608,1.3012520742193392,Bull&Bear,2.0709999999999997,3.1146371234147563
2313,華通,18.3,5.53%,40323.0,18.261429920748707,31.24087%,1.0187430826235504,1.4812569173764496,Bear Only,2.053,0.2739214488112306
2439,美律,130.0,5.45%,11050.0,125.99290265328654,37.99729%,1.0405745062836624,1.4594254937163376,Bear Only,2.045,1.889893539799298
2390,云辰,12.0,5.37%,17713.0,12.203380152375793,77.09363%,1.2897752313794624,1.2102247686205376,Bull&Bear,2.037,0.18305070228563688
2327,國巨,329.0,5.09%,27619.0,323.5381425110282,47.89922%,1.1186142102172636,1.3813857897827364,Bull&Bear,2.009,4.853072137665422
